Topic,Words,Frequency,Class
9,"charron, incompréhensible, échelon, pincette, millionnaire",3,1868 Madeleine Ferat.
10,"goûte, épanchement, repentir, fatalité, crispation",19,1868 Madeleine Ferat.
11,"façon, fraise, mielleux, laitage, pensionnat",8,1868 Madeleine Ferat.
12,"bible, psalmodia, contraria, chenet, louage",10,1868 Madeleine Ferat.
13,"surnom, crevasser, particule, précepte, sur",8,1868 Madeleine Ferat.
14,"tesson, fétide, nacrer, impur, cabalistique",19,1868 Madeleine Ferat.
15,"pacha, physionomie, épiderme, barreau, sérail",39,1868 Madeleine Ferat.
16,"bosquet, galette, altéré, hâton, cordial",30,1868 Madeleine Ferat.
17,"testament, toxique, légataire, scellé, adoptif",2,1868 Madeleine Ferat.
18,"protestant, fixité, hébétement, fanatique, répond",37,1868 Madeleine Ferat.
19,"altération, hasarder, blessa, impraticable, partion",9,1868 Madeleine Ferat.
20,"cornue, conservation, subit, boudoir, empoisonner",2,1868 Madeleine Ferat.
21,"gourmet, raillerie, surdité, privé, égratignait",9,1868 Madeleine Ferat.
0,"piste, pesage, lustre, orchestre, mât",93,Nana.
1,"abandonné, ferment, algarade, moeurs, moraliste",6,Nana.
2,"bookmaker, pesage, landau, couturier, toquade",67,Nana.
3,"exclusif, posture, damnation, spasme, plâtreux",29,Nana.
4,"coquetier, moulinet, altesse, journaliste, ouvreuse",42,Nana.
5,"jure, bébé, toquade, mufe, trompai",35,Nana.
6,"jockey, starter, parieur, pouliche, rogomm",15,Nana.
7,"merde, lançage, habilleur, avertisseur, zizi",57,Nana.
8,"fidélité, toquade, cocu, béguin, choeur",59,Nana.
9,"chic, cocotte, cote, enveloppe, cocu",30,Nana.
10,"appartien, oraison, ignorai, virginité, songe",2,Nana.
11,"praline, sonnerie, chic, bézigue, créancier",99,Nana.
12,"altesse, journaliste, champagne, figurant, réplique",182,Nana.
13,"chic, souper, anglais, entendre, cocotte",81,Nana.
14,"pouliche, chambellan, appauvri, purulence, pignouf",22,Nana.
15,"renflement, valse, couplet, balancement, bravo",24,Nana.
16,"peignoir, moricaud, vérole, lâcheur, éther",79,Nana.
17,"accessoire, pressé, carillon, brac, bric",2,Nana.
18,"psyché, écrin, zizi, miette, mufe",38,Nana.
19,"vipère, déposât, blaguer, raseur, noeud",8,Nana.
20,"orfèvre, mufe, orné, achetât, guindé",15,Nana.
21,"choeur, altesse, cocu, montreur, champagne",24,Nana.
0,"orme, manutention, étincelle, brume, bleuâtre",93,Une page d amour.
2,"sauce, épaulette, collet, almée, crevèrent",12,Une page d amour.
3,"bouillotte, empourprer, anéantissement, engourdissement, inoccupé",88,Une page d amour.
4,"demain, merlan, pianiste, attendion, badine",18,Une page d amour.
5,"mouillette, potion, imaginer, ratissa, anchois",22,Une page d amour.
7,"guéridon, phtisie, cretonn, respiration, veilleus",64,Une page d amour.
8,"deberle, râteau, scalpel, chloroanémique, raffineur",22,Une page d amour.
9,"chatouilleur, cuillère, congédiant, badine, trotte",16,Une page d amour.
10,"épouserai, soigne, filant, firmament, essoufflement",11,Une page d amour.
11,"quadrille, peignoir, cachemire, shako, tulle",46,Une page d amour.
12,"réalisme, camelote, persil, râteau, guéridon",26,Une page d amour.
13,"burnous, répétition, monologue, mercredi, embrassiez",46,Une page d amour.
14,"miaulement, bousculer, dépeuplé, crie, œillade",19,Une page d amour.
15,"châtain, inflexion, ermitage, nimbe, raidissait",33,Une page d amour.
16,"deberle, confiture, punch, képi, caveau",116,Une page d amour.
17,"aïeul, aliéné, névrose, ménagement, phtisie",1,Une page d amour.
18,"convulsion, potion, veston, sauvez, toux",69,Une page d amour.
19,"épouser, sangsue, savai, recouche, paisiblement",28,Une page d amour.
20,"jardinière, ébauche, jury, original, palette",1,Une page d amour.
21,"shako, gigot, enjolivait, baguette, vésicatoire",6,Une page d amour.
0,"guillotine, bicyclette, prunier, alentours, prostitution",106,Paris.
1,"évangile, anarchie, catholicisme, anarchiste, démocratie",203,Paris.
2,"moteur, liste, baron, rédacteur, lycée",59,Paris.
3,"loyal, renoncement, prêtrise, sépulcre, lunch",101,Paris.
4,"baron, admission, mondésir, anarchiste, normalien",130,Paris.
5,"négation, val, esthétique, épousera, mourrai",58,Paris.
6,"complot, souvenue, tourbe, hagarde, hippodrome",16,Paris.
7,"bicyclette, manipulation, substruction, basilique, béton",30,Paris.
8,"athéisme, oisiveté, droiture, aigri, union",51,Paris.
9,"bicyclette, radis, imaginer, prévaricateur, internationalisme",39,Paris.
10,"prêtr, battue, essence, apôtre, pleure",37,Paris.
11,"essayage, raccommodag, attentatoire, défiez, magnanime",20,Paris.
12,"baron, critique, polyeucte, transsaharien, carrossier",72,Paris.
13,"espagnol, initiative, éclairci, paver, breuvage",35,Paris.
14,"trottin, répugnant, galopant, hérétique, prostitution",15,Paris.
15,"contrefaite, bandeau, physionomie, épai, achalandé",38,Paris.
16,"chimie, approch, généralité, brioche, engelure",29,Paris.
17,"interpellation, explosif, arrestation, dynamite, expert",70,Paris.
18,"robinet, coi, tutoya, gagnât, chang",11,Paris.
19,"foutue, pédanterie, aille, souffreteux, ferai",28,Paris.
20,"graveur, ferai, burin, candeur, critique",29,Paris.
21,"tribune, interpellation, finess, éloquence, archevêché",60,Paris.
0,"évier, poignard, flanque, chœur, domesticité",23,Pot-bouille.
1,"firent, échevin, circonscription, adversair, étoilée",10,Pot-bouille.
2,"loyer, soierie, contrat, dot, bimbelotier",84,Pot-bouille.
3,"cor, chasseur, romance, gâta, jésuitique",23,Pot-bouille.
4,"conférence, expédient, bock, calicot, conseilla",44,Pot-bouille.
5,"lama, chantilly, montre, atrophié, contemple",28,Pot-bouille.
6,"dîneur, vanillé, frondeur, intolérance, démagogue",6,Pot-bouille.
7,"cuvette, gâche, bonne, caleçon, douteux",79,Pot-bouille.
8,"désunion, déshonnête, insuccès, adultère, réconciliation",79,Pot-bouille.
9,"dot, imprimée, agrément, tact, tromper",86,Pot-bouille.
10,"assurance, ignorai, virginité, songe, déchirement",2,Pot-bouille.
11,"bonne, peignoir, vinaigre, pruneau, mauve",70,Pot-bouille.
12,"ténor, piqueur, déboire, assurance, paroissien",63,Pot-bouille.
13,"campardon, ténor, cocotte, caverneux, immoralité",154,Pot-bouille.
14,"contraction, élasticité, francs, fesse, poissarde",17,Pot-bouille.
15,"attouchement, perler, asthmatique, nonn, empâtait",13,Pot-bouille.
16,"pruneau, ténor, facture, peignoir, entorse",77,Pot-bouille.
17,"clown, judicieux, assurance, appréciation, comptabilité",4,Pot-bouille.
18,"colique, répulsion, fourré, chameau, domptait",52,Pot-bouille.
19,"salope, fourre, pleurnicherie, souffrirai, embarrass",26,Pot-bouille.
20,"belliqueux, garanti, gastronomique, relevât, immangeable",13,Pot-bouille.
21,"boutonnière, suppléant, effarait, dessoûlé, fâchât",13,Pot-bouille.
0,"vitrine, vitrage, île, âcre, noyé",24,1867 Therese Raquin.
1,"artistique, agrandissement, névrose, lucidité, distinction",1,1867 Therese Raquin.
2,"crémerie, mercerie, journalier, toxicologie, vulgarisation",16,1867 Therese Raquin.
3,"organisme, paralytique, embrassement, déchirant, assassinat",121,1867 Therese Raquin.
4,"roulier, coudoyaient, cassant, vexer, pie",3,1867 Therese Raquin.
5,"plaintif, souvien, assommât, panégyrique, frissonnèrent",31,1867 Therese Raquin.
7,"sinistre, mercier, morsure, grès, insomnie",46,1867 Therese Raquin.
8,"mercier, ennuyant, consentement, impotente, oisiveté",42,1867 Therese Raquin.
9,"engraissa, tâchon, crémerie, fatuité, fatigant",6,1867 Therese Raquin.
10,"monologue, écœurant, abruti, argile, affaissement",3,1867 Therese Raquin.
11,"domino, mercier, mercerie, roide, gargotier",20,1867 Therese Raquin.
12,"monosyllabe, canotier, banal, témérité, congédiât",19,1867 Therese Raquin.
13,"domino, épicé, radotage, enchanta, complimenta",6,1867 Therese Raquin.
14,"morsure, cicatrice, jaunâtre, convulsionnée, allumette",36,1867 Therese Raquin.
15,"orbite, ang, bégayer, coiffé, guerrier",10,1867 Therese Raquin.
16,"mercier, domino, impotente, pie, paralytique",23,1867 Therese Raquin.
17,"verbal, putréfaction, véracité, roidi, inconsolable",2,1867 Therese Raquin.
18,"canotier, barque, commissariat, impotente, canot",37,1867 Therese Raquin.
19,"troubleront, félin, sieste, rondement, ondulation",3,1867 Therese Raquin.
20,"pinceau, esquisse, maigrir, auteur, embarrassé",10,1867 Therese Raquin.
21,"loustic, incendié, disparate, pendu, assassiné",7,1867 Therese Raquin.
0,"semoir, semeur, chaume, faneur, trèfle",85,La terre.
1,"impôt, laboureur, culture, céréale, routine",63,La terre.
2,"arpent, borderie, lot, hectare, labour",221,La terre.
3,"berger, étable, déroulement, iniquitatibu, poignait",39,La terre.
4,"chieur, bréchet, couillon, clerc, subvention",55,La terre.
5,"salop, répréhensible, fout, menaçante, gouine",35,La terre.
6,"tambour, berger, gerbe, fléau, jar",57,La terre.
7,"trappe, fenil, magot, veillée, déluge",80,La terre.
8,"susceptibilité, testament, despotique, malhonnête, tuteur",58,La terre.
9,"pistole, setier, gage, salop, comice",67,La terre.
10,"avanie, inceste, bestial, paria, consentement",2,La terre.
11,"borderie, égoutture, tilleul, fumer, carriole",51,La terre.
12,"tourte, mercerie, fermier, braconnier, omelette",74,La terre.
13,"pistole, contrariant, agriculture, culotté, gradué",24,La terre.
14,"veau, bouse, croupe, culbuta, fesse",58,La terre.
15,"cossu, dogue, déshabill, amen, hydropisie",18,La terre.
16,"veau, étable, accouchement, trousse, finît",39,La terre.
17,"réclamation, taquinât, pou, incolore, magot",11,La terre.
18,"cidre, défaillant, cotte, étable, tambour",40,La terre.
19,"bridé, inintelligence, serine, sauver, quenotte",9,La terre.
20,"baudrier, catin, fichue, surnageait, décuple",13,La terre.
21,"âne, lièvre, champêtre, fermier, cosaque",60,La terre.
0,"aire, pinède, olivier, amandier, pastel",53,Le docteur Pascal.
1,"hérédité, innéité, labeur, médication, guérisseur",81,Le docteur Pascal.
2,"grasse, avarice, déchu, bâtard, substance",50,Le docteur Pascal.
3,"platane, anéantissement, nonne, piqûre, guet",124,Le docteur Pascal.
4,"sclérose, provençal, bénin, exaspère, taciturne",29,Le docteur Pascal.
5,"pense, soignerai, répond, mélange, inestimable",74,Le docteur Pascal.
6,"coulure, panache, boisé, crête, pin",2,Le docteur Pascal.
7,"mistral, pilon, manuscrit, généalogique, fragment",60,Le docteur Pascal.
8,"revendeur, déférent, vieillesse, régime, candide",43,Le docteur Pascal.
9,"reçu, procuration, sors, tranquillisait, souleiade",19,Le docteur Pascal.
10,"évolution, piqûre, prescription, renoncement, aire",18,Le docteur Pascal.
11,"vrille, garçonnière, bracelet, sujette, protégeaient",18,Le docteur Pascal.
12,"piqûre, fureteur, ataxie, plantation, fâcherie",9,Le docteur Pascal.
13,"irrigation, licou, bourrelier, affaiblissement, hystérique",11,Le docteur Pascal.
14,"macquart, dégénérescence, relâchement, sénilité, rosée",23,Le docteur Pascal.
15,"pastel, sunamite, élancé, lilial, trisaïeul",51,Le docteur Pascal.
16,"pupitre, ataxie, généalogique, caboche, pastel",34,Le docteur Pascal.
17,"sclérose, hérédité, paperasse, larvé, dissection",15,Le docteur Pascal.
18,"macquart, gramme, dose, injection, seringue",34,Le docteur Pascal.
19,"soignerai, mourir, veiller, élixir, brutalisait",22,Le docteur Pascal.
20,"pastel, copie, prévoyant, minutie, gravure",8,Le docteur Pascal.
21,"macquart, six, poisser, dérangeât, fourrure",8,Le docteur Pascal.
0,"sel, marécageux, hectare, infanticide, pierreux",81,Fecondite.
1,"fécondité, subsistance, domaine, hectare, semence",195,Fecondite.
2,"moulin, enclave, lande, meunier, dot",132,Fecondite.
3,"constance, stérile, fraude, stérilité, fécond",131,Fecondite.
4,"charron, apprenti, constance, enclave, marin",62,Fecondite.
5,"palpitant, allaitement, aventureux, pense, pulmonaire",47,Fecondite.
6,"bicycliste, boa, affolant, criminelle, mortalité",13,Fecondite.
7,"cabriole, refroidir, cassure, elle, araignée",58,Fecondite.
8,"pessimisme, constance, rusé, stérilité, natalité",112,Fecondite.
9,"biberon, nourrisson, nourrisseuse, moulin, chantage",76,Fecondite.
10,"confident, suffoquée, supplie, mayonnaise, par",35,Fecondite.
11,"écrevisse, meneur, break, réfectoire, bicyclette",72,Fecondite.
12,"fiancé, jumeau, étain, filon, batteuse",59,Fecondite.
13,"constance, allaitement, vaniteux, location, infirmier",63,Fecondite.
14,"évocation, hémorragie, puant, soudaineté, apercevoir",31,Fecondite.
15,"fécondité, mousquetaire, éleveuse, fécond, renouveau",88,Fecondite.
16,"meneur, poupon, natalité, accouchement, accoucher",96,Fecondite.
17,"lacune, hameau, diagnostic, simuler, kyste",29,Fecondite.
18,"courroie, chaînette, éther, constata, apercevoir",46,Fecondite.
19,"petiot, kyste, glande, acquiescement, sécrétion",71,Fecondite.
20,"clinique, reliure, relique, pitchpin, commensal",25,Fecondite.
21,"commensal, busqué, turc, frisant, pâlot",16,Fecondite.
0,"serre, taillis, massif, nymphe, bassin",139,La curee.
1,"transformation, spéculation, outrance, entrepositaire, engraissa",11,La curee.
2,"indemnité, expropriation, immeuble, bail, spéculation",103,La curee.
3,"inceste, serre, joufflu, valse, baignoire",37,La curee.
4,"complimenter, duc, contrat, compère, causeur",31,La curee.
5,"aie, ondulation, épousai, impertinence, créole",21,La curee.
6,"rémouleur, supposer, capiton, bai, amiable",3,La curee.
7,"volière, frison, serre, maint, rhododendron",23,La curee.
8,"protêt, collégien, tourtereau, vicieux, charnel",42,La curee.
9,"cession, encrier, expropriation, prêteur, milliard",40,La curee.
10,"assommant, prévention, cynisme, ravissant, boudeur",3,La curee.
11,"entresol, bâillant, magicienne, congédia, nymphe",43,La curee.
12,"estrade, nymphe, champagne, entrepreneur, sénateur",50,La curee.
13,"nymphe, bracelet, dressoir, carême, poème",35,La curee.
14,"topaze, coutelas, duc, agenouillé, turquoise",12,La curee.
15,"loupe, natte, langueur, tertre, maillot",40,La curee.
16,"fumoir, magicienne, duc, collation, bossu",36,La curee.
17,"embûche, registre, compère, coquinerie, mesquin",4,La curee.
18,"serre, capuchon, taquinerie, détraqua, irisé",16,La curee.
19,"collégien, méditatif, nougat, tête, attablée",10,La curee.
20,"butte, incestueux, parussent, cartable, fureté",25,La curee.
21,"eunuque, éléphant, burnous, belvédère, butte",12,La curee.
0,"tunnel, vitesse, cylindre, tranchée, tringle",78,La bete humaine.
1,"piste, graissage, outrait, perspicacité, têtue",12,La bete humaine.
2,"mangeon, réglage, legs, frise, magistrature",40,La bete humaine.
3,"guéri, pervenche, passif, vitesse, flore",117,La bete humaine.
4,"télégramme, interrogatoire, prévenu, affirmatif, reconnaîtriez",40,La bete humaine.
5,"aime, fasse, moi, suicide, torpeur",53,La bete humaine.
6,"conducteur, tranchée, fourgon, tunnel, attelage",44,La bete humaine.
7,"carrier, cantine, coucou, flore, frise",95,La bete humaine.
8,"manufacturier, cavale, contrecoup, espionnage, tâtant",43,La bete humaine.
9,"testament, repincer, exagère, flanquerai, parler",17,La bete humaine.
10,"dote, étreignirent, connaissiez, égorgement, mourir",7,La bete humaine.
11,"âtre, flore, anglais, enfiévra, transbordement",25,La bete humaine.
12,"aiguilleur, conducteur, carrier, régulateur, tunnel",42,La bete humaine.
13,"assesseur, horticulteur, sût, hebdomadaire, guette",15,La bete humaine.
14,"poitrail, tunnel, concupiscence, hennissement, fanal",63,La bete humaine.
15,"potelé, bielle, drue, fragile, square",9,La bete humaine.
16,"flore, tunnel, marraine, excitant, fardier",45,La bete humaine.
17,"carrier, interrogatoire, signalement, piste, accusé",66,La bete humaine.
18,"flore, fardier, tressaillit, diamanté, assourdie",35,La bete humaine.
19,"donnez, angoissé, alternative, indissoluble, cherche",10,La bete humaine.
20,"graissage, dînette, rayure, chauffage, cavale",2,La bete humaine.
21,"cherche, magistrature, prévenu, type, effarement",19,La bete humaine.
0,"berline, cage, houille, cuvelage, câble",224,Germinal.
1,"boisage, internationale, programme, révolution, salaire",92,Germinal.
2,"centime, prévoyance, marchandage, régisseur, herscheur",149,Germinal.
3,"terri, rivelaine, empreinte, anéanti, puceau",38,Germinal.
4,"cabaretier, aérage, délégué, mouchard, machineur",35,Germinal.
5,"moi, rhum, morue, biscuit, tuerie",29,Germinal.
6,"porion, gréviste, câble, cloutier, brûlé",100,Germinal.
7,"veste, porion, coucou, bosse, briquet",65,Germinal.
8,"gobaient, sentît, tannait, bourde, dévêtir",23,Germinal.
9,"amende, chômage, logeur, raccommodage, pourri",41,Germinal.
10,"donnai, ruineux, pâlit, étouffé, salaire",2,Germinal.
11,"pierronne, poireau, calèche, oseille, cafetière",59,Germinal.
12,"machineur, estaminet, délégué, porion, charbonnier",62,Germinal.
13,"ducasse, distrait, firent, alarmée, affabilité",16,Germinal.
14,"brûlé, emmène, inondation, gargouillement, haveur",73,Germinal.
15,"gourde, tatouée, béguin, empêchât, reniflement",8,Germinal.
16,"brioche, lapine, pissenlit, trinqua, causette",36,Germinal.
17,"baril, gréviste, consigne, tracassaient, coalition",18,Germinal.
18,"anémique, caraco, genièvre, dégingandé, mamelle",45,Germinal.
19,"seron, réchauffer, aidât, criblage, infortune",4,Germinal.
20,"endoctrinait, collision, jeton, correspondance, propagande",10,Germinal.
21,"herscheur, grisou, ingénieur, porion, culbuteur",41,Germinal.
0,"pèlerin, dais, bannière, nef, chariot",186,Lourdes.
1,"pèlerin, égalité, dogme, paroissial, chariot",129,Lourdes.
2,"entrepreneur, paroisse, tumeur, greffier, concurrence",30,Lourdes.
3,"conversion, inextinguible, chariot, élu, agenouillée",107,Lourdes.
4,"révérend, certificat, excursion, coiffeur, tuberculeux",89,Lourdes.
5,"souffrir, microscopique, philosophique, jure, émerveillement",5,Lourdes.
6,"brancardier, locomotive, pèlerin, débarquement, messagerie",20,Lourdes.
7,"clé, chenal, sécheront, écran, cancer",51,Lourdes.
8,"rétablissement, hospice, localiser, payât, léser",34,Lourdes.
9,"rognon, sauce, saumon, directrice, danser",24,Lourdes.
10,"conjure, piscine, surnaturel, ciboire, guérir",72,Lourdes.
11,"fourgon, hospitalier, bouillon, brancardier, pèlerin",48,Lourdes.
12,"pèlerin, hermoise, excursion, embarquement, miraculé",51,Lourdes.
13,"ecclésiastique, guérir, révérend, excursion, directrice",27,Lourdes.
14,"cancer, hospitalier, tumeur, phtisique, baignoire",26,Lourdes.
15,"bidon, ave, vêtaient, supercherie, consolée",64,Lourdes.
16,"valable, pharmacie, directrice, coupure, ensoleillée",58,Lourdes.
17,"certificat, diagnostic, verbal, écrivain, constatation",27,Lourdes.
18,"guérir, phtisique, ulcère, scrofule, capucin",86,Lourdes.
19,"fourmillement, vicaire, coupole, arbrisseau, menât",35,Lourdes.
20,"foudroyé, agacement, faussement, prétentieux, imagerie",4,Lourdes.
21,"révérend, chaire, pèr, assomption, paralysie",30,Lourdes.
0,"buis, fruitier, poirier, bûcher, fascine",25,La conquete de Plassans.
1,"patronnesse, fatigua, unanime, géranium, laitue",7,La conquete de Plassans.
2,"candidature, candidat, chapelier, lacet, moutarde",43,La conquete de Plassans.
3,"craignai, humaine, pleurante, aplatissaient, extra",12,La conquete de Plassans.
4,"vicaire, diocèse, dédommagement, conservateur, tonnelle",166,La conquete de Plassans.
5,"millerolle, mouille, coupage, surprenai, dira",19,La conquete de Plassans.
6,"pompe, rappel, pompier, vaurien, cocasse",9,La conquete de Plassans.
7,"bréviaire, cabanon, grog, tonnelle, serrure",72,La conquete de Plassans.
8,"querelleux, comité, criaillerie, simagrée, souffler",42,La conquete de Plassans.
9,"bague, lucide, interrompit, taquin, torchon",73,La conquete de Plassans.
10,"soupire, irai, meur, ignorai, éther",11,La conquete de Plassans.
11,"poire, patronnesse, casserole, gigot, dragée",60,La conquete de Plassans.
12,"cascade, anecdote, bassin, tanneur, vicaire",60,La conquete de Plassans.
13,"limace, comité, oratoire, patronnesse, rhume",48,La conquete de Plassans.
14,"égratignait, tulette, couchât, verge, mourante",10,La conquete de Plassans.
15,"plissement, purgatoire, vieille, bâtardise, naine",12,La conquete de Plassans.
16,"confessionnal, aliéné, oratoire, poire, verve",60,La conquete de Plassans.
17,"liquoriste, crécelle, oeuvre, confidentiel, cabanon",3,La conquete de Plassans.
18,"grelotte, duelliste, réveillant, marbré, écorchure",19,La conquete de Plassans.
19,"rasoir, surplis, consolât, légitimiste, évêqu",33,La conquete de Plassans.
20,"sarment, effarait, artistement, diocèse, hasardé",10,La conquete de Plassans.
21,"bréviaire, raquette, pâtissier, désirât, pouffait",21,La conquete de Plassans.
